Date,Open,High,Low,Close,Adj Close,Volume
2020-04-06,138.050003,143.809998,137.009995,142.259995,140.398483,2402100
2020-04-07,156.490005,162.990005,149.529999,149.589996,147.632584,2491800
2020-04-08,150.009995,163.800003,149.009995,157.770004,155.705536,3432700
2020-04-09,162.639999,167.750000,161.110001,166.240005,164.064713,2346600
2020-04-13,165.880005,166.800003,157.309998,157.630005,155.567383,1783300
2020-04-14,162.000000,169.369995,161.500000,167.830002,165.633911,2111900
2020-04-15,164.000000,164.559998,159.369995,162.360001,160.235474,1735900
2020-04-16,163.309998,164.330002,159.809998,162.149994,160.028229,1358300
2020-04-17,167.279999,168.080002,160.809998,162.699997,160.571014,1540600
2020-04-20,159.889999,163.369995,156.500000,156.619995,154.570587,1520300
2020-04-21,153.210007,155.229996,151.250000,153.020004,151.017700,1437400
2020-04-22,157.000000,157.000000,152.369995,155.220001,153.188904,1531400
2020-04-23,156.529999,158.320007,152.410004,153.050003,151.047302,1185100
2020-04-24,155.089996,159.089996,153.509995,158.830002,156.751678,1266700
2020-04-27,160.000000,164.059998,155.820007,163.149994,161.015121,1679100
2020-04-28,166.199997,169.289993,164.080002,167.429993,165.239120,1410300
2020-04-29,169.389999,172.770004,168.279999,169.419998,167.203079,1230400
2020-04-30,166.949997,167.610001,162.389999,164.690002,162.534988,1161100
2020-05-01,162.600006,164.779999,160.750000,161.570007,159.455826,968500
2020-05-04,159.589996,164.210007,158.419998,163.750000,162.360962,911800
2020-05-05,164.000000,165.610001,162.380005,163.009995,161.627228,1054900
2020-05-06,164.110001,166.960007,163.139999,165.479996,164.076279,931900
2020-05-07,167.729996,168.000000,163.669998,164.770004,163.372314,860000
2020-05-08,160.800003,166.850006,159.550003,166.059998,164.651367,1129100
2020-05-11,163.020004,166.330002,162.119995,163.300003,161.914780,1262400
2020-05-12,165.190002,165.369995,160.470001,160.520004,159.158356,917700
2020-05-13,161.000000,161.000000,153.100006,155.320007,154.002472,1669200
2020-05-14,152.770004,158.279999,151.529999,157.960007,156.620087,1376900
2020-05-15,157.229996,160.089996,155.899994,158.490005,157.145584,1112400
2020-05-18,161.839996,169.479996,161.839996,168.509995,167.080582,1848200
2020-05-19,167.630005,172.660004,165.449997,168.899994,167.467255,1094300
2020-05-20,171.389999,173.619995,169.360001,172.470001,171.006989,1125500
2020-05-21,171.789993,172.509995,168.289993,171.000000,169.549454,971800
2020-05-22,170.869995,172.820007,168.160004,172.309998,170.848343,1051300
2020-05-26,175.100006,179.080002,174.949997,176.410004,174.913574,1505500
2020-05-27,179.240005,179.429993,171.360001,179.380005,177.858368,1428400
2020-05-28,180.000000,180.000000,175.229996,175.440002,173.951797,823000
2020-05-29,172.710007,176.229996,170.539993,172.699997,171.235031,1668800
2020-06-01,172.399994,176.279999,171.279999,173.250000,171.780365,1401200
2020-06-02,174.289993,175.240005,171.369995,173.229996,171.760544,1158300
2020-06-03,173.470001,176.169998,172.770004,174.820007,173.337051,1201500
2020-06-04,174.690002,176.259995,173.360001,175.729996,174.239334,1898800
2020-06-05,179.070007,183.259995,177.589996,181.419998,179.881058,1753200
2020-06-08,183.529999,186.330002,183.009995,185.929993,184.352798,960100
2020-06-09,182.639999,183.809998,180.070007,183.399994,181.844269,1135300
2020-06-10,183.589996,183.589996,179.289993,180.300003,178.770569,1299400
2020-06-11,173.860001,175.570007,167.820007,168.669998,167.239227,1500700
2020-06-12,172.940002,173.830002,167.270004,170.279999,168.835571,929300
2020-06-15,166.529999,174.949997,164.250000,173.690002,172.216644,1132800
2020-06-16,179.279999,180.259995,173.699997,177.460007,175.954666,1276300
2020-06-17,178.710007,180.460007,177.429993,178.710007,177.194061,978200
2020-06-18,178.550003,184.509995,177.850006,184.250000,182.687073,1229700
2020-06-19,187.649994,189.369995,181.220001,181.410004,179.871155,2638300
2020-06-22,180.440002,181.990005,178.119995,179.710007,178.185577,984300
2020-06-23,181.220001,182.130005,179.339996,180.460007,178.929214,857300
2020-06-24,178.649994,179.740005,171.410004,171.660004,170.203857,1418700
2020-06-25,171.740005,174.009995,168.740005,173.330002,171.859695,1132200
2020-06-26,174.089996,174.089996,166.520004,168.990005,167.556519,1662800
2020-06-29,170.000000,174.490005,168.399994,174.169998,172.692566,1160500
2020-06-30,174.789993,175.110001,172.339996,174.949997,173.465942,1134200
2020-07-01,182.929993,189.919998,182.039993,185.880005,184.303253,3465200
2020-07-02,189.179993,190.740005,185.389999,185.800003,184.223907,1895100
2020-07-06,188.119995,189.380005,185.210007,186.490005,184.908066,1004800
2020-07-07,184.179993,186.589996,182.270004,182.460007,180.912247,904900
2020-07-08,183.279999,184.110001,181.300003,183.479996,181.923584,800200
2020-07-09,184.240005,185.500000,181.710007,182.389999,180.842834,1202100
2020-07-10,182.929993,184.990005,182.110001,184.929993,183.361298,567600
2020-07-13,185.500000,185.729996,179.240005,179.690002,178.165756,1136100
2020-07-14,179.000000,179.899994,176.240005,179.179993,177.660065,1538000
2020-07-15,181.050003,182.660004,179.690002,182.630005,181.080811,1365400
2020-07-16,181.889999,183.729996,180.610001,181.240005,179.702606,1154900
2020-07-17,182.289993,183.130005,180.399994,180.610001,179.077942,1093500
2020-07-20,179.649994,180.320007,175.399994,177.600006,176.093475,1221100
2020-07-21,178.559998,184.070007,178.410004,180.770004,179.236588,1225300
2020-07-22,180.399994,181.000000,178.830002,179.490005,177.967453,1011600
2020-07-23,180.380005,182.919998,178.789993,179.000000,177.481598,1536700
2020-07-24,179.199997,180.220001,177.710007,179.850006,178.324387,803900
2020-07-27,179.300003,179.880005,177.259995,178.889999,177.372528,886600
2020-07-28,178.589996,182.110001,178.169998,179.520004,177.997192,961800
2020-07-29,180.550003,182.300003,179.500000,181.610001,180.069458,556100
2020-07-30,180.210007,181.880005,178.820007,180.830002,179.296082,622600
2020-07-31,180.300003,180.910004,175.740005,178.199997,176.688385,1095800
2020-08-03,178.199997,178.199997,172.740005,173.289993,171.820023,1233900
2020-08-04,173.000000,174.490005,171.570007,171.690002,170.233597,1208500
2020-08-05,172.110001,173.570007,172.110001,173.429993,171.958847,740800
2020-08-06,171.009995,173.000000,170.250000,171.089996,169.638702,1426300
2020-08-07,170.389999,173.009995,170.050003,172.270004,170.808685,1456100
2020-08-10,171.710007,172.940002,170.940002,171.449997,170.738968,757400
2020-08-11,173.770004,174.509995,171.889999,172.869995,172.153091,926500
2020-08-12,174.380005,177.100006,173.889999,175.500000,174.772186,1185300
2020-08-13,174.429993,177.139999,174.119995,176.619995,175.887527,587300
2020-08-14,176.110001,178.080002,175.770004,176.029999,175.299988,574000
2020-08-17,176.360001,177.149994,173.389999,173.690002,172.969696,833400
2020-08-18,174.059998,178.619995,173.729996,178.179993,177.441055,1515700
2020-08-19,178.190002,180.399994,177.789993,180.000000,179.253525,971700
2020-08-20,178.300003,179.630005,177.759995,178.339996,177.600403,875200
2020-08-21,179.000000,179.559998,177.139999,179.289993,178.546463,916700
2020-08-24,178.759995,181.500000,177.880005,181.490005,180.737350,695600
2020-08-25,181.259995,181.559998,179.199997,180.179993,179.432770,703700
